NUMERO DOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
13463853;143659891;F-0324-0129661;03/03/2024;148,99;Fixe;6970;2
13610421;145929444;F-0324-0045869;03/03/2024;249;Mobile;8545;5
13181128;139232108;F-0324-0162737;03/03/2024;49;Mobile;5723;3
13535857;144775841;F-0324-0038275;03/03/2024;49;Mobile;7712;4
11811921;145142978;F-0324-0798550;04/03/2024;148,99;Fixe;3378;1
12408610;131543070;F-0324-0679394;02/03/2024;249;Fixe;4213;2
13515788;144457030;F-0324-0652189;02/03/2024;49;Mobile;7470;2
13515788;144457030;F-0224-0520556;02/02/2024;49;Mobile;7470;5
11703349;111941367;F-0324-0644656;02/03/2024;249;Fixe;3251;3
13694485;147852815;F-0324-1314868;04/03/2024;348,96;Fixe;10671;4
12438469;124420244;F-0224-0740346;04/02/2024;49;Mobile;4248;1
12438469;124420244;F-0324-0725307;04/03/2024;49;Mobile;4248;2
12294631;121848726;F-0324-0713856;02/03/2024;249;Fixe;4026;2
11911246;116351094;F-0324-0760347;04/03/2024;49;Mobile;3494;5
13355596;142146729;F-0224-0605600;02/02/2024;49;Mobile;6308;3
13355596;142146729;F-0324-0622091;02/03/2024;49;Mobile;6308;4
13170483;139035339;F-0324-0680048;02/03/2024;49;Mobile;5698;1
13661737;148026561;F-0324-1302970;02/03/2024;49;Mobile;9659;2
13453130;145359301;F-0324-1235678;03/03/2024;99;Mobile;6896;2
13047055;146927229;F-0324-1210213;03/03/2024;49;Mobile;5377;5
13311553;141438921;F-0324-1209864;03/03/2024;248,98;Fixe;6100;3
12169095;119896053;F-0324-1279309;02/03/2024;49;Mobile;3866;4
11905168;144051705;F-0324-1322632;04/03/2024;49;Mobile;3486;1
13202479;139710283;F-0324-1257737;01/03/2024;99;Mobile;5772;2
12998101;135649099;F-0324-1216966;03/03/2024;49;Mobile;5261;2
11137248;103464865;F-0324-1279392;02/03/2024;99;Mobile;2690;5
13634421;146783458;F-0324-1264457;01/03/2024;199;Mobile;8844;3
11905029;116279791;F-0324-1333132;04/03/2024;49;Mobile;3485;4
13684339;147605788;F-0324-1215109;03/03/2024;249;Mobile;10356;1
13502833;144242738;F-0324-1260033;01/03/2024;99;Mobile;7325;2
13669400;147149475;F-0324-1296574;02/03/2024;249;Fixe;9883;2
13690716;147765465;F-0324-1326358;04/03/2024;49;Mobile;10567;5
13564581;145368726;F-0324-1272543;01/03/2024;49;Mobile;8045;3
13692036;147767914;F-0224-1162930;04/02/2024;49;Mobile;10610;4
13692036;147767914;F-0324-1333951;04/03/2024;49;Mobile;10610;1
10725293;117154254;F-0324-1263289;01/03/2024;49;Mobile;2349;2
13698438;148020625;F-0324-1344559;04/03/2024;49;Mobile;10779;2
11930177;116564119;F-0224-0646433;02/02/2024;4,6;Mobile;3529;5
11930177;116564119;F-0324-1280112;02/03/2024;49;Mobile;3529;3
13284374;140890205;F-0324-1269825;01/03/2024;249;Fixe;5997;4
13548130;144978542;F-0324-1317113;04/03/2024;49;Mobile;7859;1
12577108;145699574;F-0324-0449195;01/03/2024;49;Mobile;4440;2
13562789;145365520;F-0324-0447525;01/03/2024;49;Mobile;8022;2
13637771;146789700;F-0324-1042426;01/03/2024;148,99;Fixe;8942;5
12717843;131104779;F-0324-1236410;01/03/2024;49;Mobile;4653;3
13021493;142945394;F-0324-1260011;01/03/2024;149;Mobile;5309;4
11509813;136861288;F-0324-1222634;03/03/2024;69;Mobile;3036;1
13508451;144313019;F-0224-0706819;02/02/2024;49;Mobile;7393;2
13508451;144313019;F-0324-0600275;02/03/2024;49;Mobile;7393;2
13069280;136870182;F-0324-0422400;01/03/2024;349;Fixe;5427;5
13204154;139713823;F-0324-0461531;01/03/2024;148,99;Fixe;5776;3
12905968;134485689;F-0324-0520699;02/03/2024;199;Fixe;5056;4
13641195;146875105;F-0224-1038772;01/02/2024;49;Mobile;9044;1
13641195;146875105;F-0324-1024865;01/03/2024;49;Mobile;9044;2
11235632;147435603;F-0324-1029529;01/03/2024;49;Mobile;2784;2
10735392;98005407;F-0324-0420344;01/03/2024;240;Fixe;2355;5
13431508;143197431;F-0324-0604111;02/03/2024;148,99;Fixe;6739;3
10822690;148262272;F-0324-1047385;04/03/2024;194;Mobile;2421;4
13646158;146884469;F-0324-1031450;01/03/2024;48;Mobile;9174;1
13504365;144305575;F-0324-1015511;01/03/2024;49;Mobile;7344;2
13028754;146876635;F-0324-1040046;01/03/2024;49;Mobile;5336;2
13650376;146963472;F-0224-1099962;01/02/2024;49;Mobile;9291;5
13650376;146963472;F-0324-1038852;01/03/2024;49;Mobile;9291;3
13648021;146928130;F-0224-1096308;01/02/2024;49;Mobile;9227;4
13648021;146928130;F-0324-1042782;01/03/2024;49;Mobile;9227;1
13633574;146756708;F-0224-1037042;01/02/2024;49;Mobile;8813;2
13633574;146756708;F-0324-1017015;01/03/2024;49;Mobile;8813;2
13545920;144974470;F-0324-1536256;03/03/2024;39,2;Mobile;7833;5
13285532;140892703;F-0324-1012697;01/03/2024;49;Mobile;6001;3
13565952;145431264;F-0324-0236733;01/03/2024;99;Mobile;8070;4
13498056;144153944;F-0324-1539426;01/03/2024;541,49;Fixe;7272;1
13685872;147608842;F-0224-1010418;03/02/2024;80,32;Mobile;10412;2
13685872;147608842;F-0324-1536078;03/03/2024;163,14;Mobile;10412;2
11640852;138393994;F-0324-0301921;01/03/2024;49;Mobile;3182;5
13205967;139717087;F-0324-0354547;01/03/2024;148,99;Fixe;5783;3
12959526;135151582;F-0324-0249957;01/03/2024;349;Fixe;5184;4
13335307;141929988;F-0224-0307760;01/02/2024;49;Mobile;6186;1
13335307;141929988;F-0324-0279877;01/03/2024;49;Mobile;6186;2
11040222;121561471;F-0324-1510830;03/03/2024;137,38;Fixe;2592;2
13498056;145516347;F-0324-1542179;01/03/2024;601,75;Fixe;7272;5
12392310;138954517;F-0324-1539407;01/03/2024;94,45;Fixe;4180;3
13140952;138521248;F-0324-0364076;01/03/2024;49;Mobile;5616;4
10910796;100010886;F-0324-0273539;01/03/2024;240;Fixe;2503;1
10843631;99503820;F-0324-0298753;01/03/2024;199;Mobile;2434;2
13336520;141931946;F-0324-0382564;01/03/2024;49;Mobile;6193;2
13438603;143297456;F-0324-0694383;02/03/2024;148,99;Fixe;6796;5
5802897;146015632;F-0324-0795877;04/03/2024;49;Mobile;579;3
13591958;145807961;F-0324-0683085;02/03/2024;49;Mobile;8339;4
13526411;144600852;F-0324-0628526;02/03/2024;49;Mobile;7600;1
13526411;144600852;F-0224-0580792;02/02/2024;49;Mobile;7600;2
12782646;132484222;F-0324-0622647;02/03/2024;48;Mobile;4786;2
9433845;142361706;F-0324-0797649;04/03/2024;99;Mobile;1278;5
11933685;116611133;F-0324-0713482;02/03/2024;49;Mobile;3534;3
13361298;146762564;F-0324-0651780;02/03/2024;99;Mobile;6342;4
13511119;144387954;F-0324-0652155;02/03/2024;48;Mobile;7430;1
13167621;138955724;F-0324-0626447;02/03/2024;249;Fixe;5689;2
11731237;112405124;F-0324-0753326;04/03/2024;249;Fixe;3283;2
13217731;140039243;F-0324-0692579;02/03/2024;49;Mobile;5811;5
13224845;140102945;F-0324-0627580;02/03/2024;49;Mobile;5832;3
11502065;108684948;F-0324-0723782;02/03/2024;240;Mobile;3029;4
11730679;112396070;F-0324-0738822;04/03/2024;249;Fixe;3281;1
13355795;142147086;F-0324-0623741;02/03/2024;49;Mobile;6310;2
5829798;145421020;F-0324-0795686;04/03/2024;49;Mobile;584;2
13595833;145887391;F-0324-0634521;02/03/2024;249;Mobile;8383;5
12352989;123196871;F-0324-0642732;02/03/2024;249;Fixe;4115;3
11661737;129694560;F-0324-0672926;02/03/2024;249;Fixe;3204;4
10853886;116288454;F-0324-0638440;02/03/2024;240;Mobile;2443;1
12853454;133685847;F-0224-0719293;02/02/2024;249;Fixe;4941;2
12853454;133685847;F-0324-0647030;02/03/2024;249;Fixe;4941;2
11160401;147432190;F-0324-1355980;04/03/2024;249;Mobile;2713;5
11160401;103924172;F-0324-0744822;04/03/2024;240;Mobile;2713;3
12584331;128697841;F-0324-0669759;02/03/2024;249;Fixe;4453;4
12969015;135288013;F-0324-0627336;02/03/2024;249;Fixe;5203;1
13369809;142362247;F-0324-0691190;02/03/2024;249;Fixe;6392;2
13587784;145700236;F-0324-0600984;02/03/2024;249;Mobile;8305;2
3847558;147254981;F-0324-1060641;04/03/2024;99;Mobile;122;5
12143656;119447278;F-0324-0733489;04/03/2024;249;Fixe;3820;3
12658654;130850715;F-0324-0673555;02/03/2024;199;Mobile;4562;4
12658654;129934357;F-1223-1447479;02/12/2023;6,63;Mobile;4562;1
12268945;121440926;F-0324-0751790;04/03/2024;249;Fixe;3984;2
13566688;145432556;F-0324-0473533;01/03/2024;249;Mobile;8081;2
13409539;142953266;F-0324-0447921;01/03/2024;99;Mobile;6575;5
13293068;141009184;F-0324-0534989;02/03/2024;148,99;Fixe;6034;3
13210142;139804879;F-0324-0462772;01/03/2024;49;Mobile;5791;4
13496781;144151506;F-0324-0454548;01/03/2024;49;Mobile;7249;1
12844076;141911243;F-0324-0518319;02/03/2024;49;Mobile;4915;2
11651995;111094476;F-0224-0401604;01/02/2024;240;Mobile;3190;2
11651995;111094476;F-0324-0457562;01/03/2024;240;Mobile;3190;5
11129898;103338699;F-0324-0543742;02/03/2024;240;Mobile;2682;3
12899977;134473791;F-0324-1009390;01/03/2024;73,99;Mobile;5040;4
3896276;145341218;F-0324-1058131;04/03/2024;49;Mobile;135;1
13564986;145369497;F-0324-1013243;01/03/2024;148,99;Fixe;8052;2
13645772;146883741;F-0324-1025496;01/03/2024;49;Mobile;9160;2
13645800;146883815;F-0324-1028254;01/03/2024;49;Mobile;9162;5
6807836;143033052;F-0324-1551624;04/03/2024;42,93;Fixe;822;3
11963943;133182866;F-0324-1529384;04/03/2024;231,83;Fixe;3576;4
11499303;120096429;F-0324-1545521;02/03/2024;231,72;Mobile;3025;1
13347002;149449785;F-0324-1539833;01/03/2024;39,2;Mobile;6252;2
10673641;97385502;F-0324-1523960;01/03/2024;115,86;Mobile;2300;2
11684180;136843172;F-0324-1538896;01/03/2024;99;Mobile;3230;5
12626729;129564455;F-0324-1525779;04/03/2024;223,24;Fixe;4512;3
12355488;130757841;F-0324-1513904;02/03/2024;120,21;Fixe;4120;4
11598901;110137010;F-0324-0328763;01/03/2024;199;Mobile;3125;1
11168188;119450921;F-0324-0227411;01/03/2024;249;Fixe;2721;2
13025356;144242340;F-0324-0269989;01/03/2024;49;Mobile;5322;2
13381575;142459253;F-0324-1234879;03/03/2024;49;Mobile;6454;5
13697971;148019797;F-0324-1326380;04/03/2024;248,98;Fixe;10767;3
13577251;145518743;F-0324-0414784;01/03/2024;49;Mobile;8202;4
12957648;135147933;F-0324-0352281;01/03/2024;199;Fixe;5178;1
13661526;147133962;F-0324-1279158;02/03/2024;248,98;Fixe;9651;2
13425522;143041424;F-0224-0348913;01/02/2024;49;Mobile;6699;2
13425522;143041424;F-0324-0284774;01/03/2024;49;Mobile;6699;5
11164283;104161618;F-0324-0291453;01/03/2024;199;Mobile;2719;3
13695821;147935606;F-0324-1343568;04/03/2024;49;Mobile;10715;4
13672550;147255550;F-0324-1226885;03/03/2024;249;Mobile;9963;1
13631838;146752563;F-0324-1321106;04/03/2024;49;Mobile;8784;2
13702328;148079147;F-0324-1344799;04/03/2024;248,98;Fixe;10880;2
13365059;142288823;F-0324-1305346;02/03/2024;49;Mobile;6366;5
13428186;143116354;F-0324-1253136;01/03/2024;49;Mobile;6720;3
11216141;143202539;F-0324-1218679;03/03/2024;248,98;Fixe;2768;4
13546288;144975316;F-0324-1317103;04/03/2024;248,98;Fixe;7840;1
13699591;148023417;F-0224-1504708;04/02/2024;123,1;Fixe;10810;2
13699591;148023417;F-0324-1341864;04/03/2024;249;Fixe;10810;2
12922769;146962448;F-0324-1232187;03/03/2024;48,99;Mobile;5103;5
12991274;144082043;F-0324-1226007;03/03/2024;48;Mobile;5249;3
13695713;147935403;F-0324-1344053;04/03/2024;49;Mobile;10710;4
13558549;145270006;F-0324-1336780;04/03/2024;49;Mobile;7968;1
13699085;148022034;F-0324-1343274;04/03/2024;49;Mobile;10797;2
13138861;142937963;F-0324-1271122;01/03/2024;99;Mobile;5612;2
13655734;147022732;F-0324-1305362;02/03/2024;49;Mobile;9459;5
13695115;147934183;F-0324-1345950;04/03/2024;49;Mobile;10684;3
12827382;149435394;F-0324-1253204;01/03/2024;49;Mobile;4880;4
12179522;120045925;F-0324-1221441;03/03/2024;49;Mobile;3879;1
11224682;119069217;F-0324-1335859;04/03/2024;249;Fixe;2776;2
13705432;148158720;F-0324-1346102;04/03/2024;49;Mobile;10949;2
11515770;108974761;F-0324-1219435;03/03/2024;49;Mobile;3044;5
13690915;147765864;F-0324-1313025;04/03/2024;49;Mobile;10575;3
13428662;148246308;F-0324-1254431;01/03/2024;49;Mobile;6724;4
13690844;147765758;F-0324-1344228;04/03/2024;49;Mobile;10573;1
10771183;148266660;F-0324-1247973;01/03/2024;48;Mobile;2384;2
13696846;147937532;F-0324-1315361;04/03/2024;49;Mobile;10744;2
13578652;145601433;F-0324-1263549;01/03/2024;49;Mobile;8218;5
12637475;140675846;F-0324-1258905;01/03/2024;49;Mobile;4526;3
12593719;145354591;F-0324-1288916;02/03/2024;99;Mobile;4470;4
12861242;148247645;F-0324-1216860;03/03/2024;99;Mobile;4956;1
13700417;148025081;F-0324-1345982;04/03/2024;49;Mobile;10831;2
11304751;140537252;F-0324-1264274;01/03/2024;99;Mobile;2840;2
13453298;143505139;F-0324-1223383;03/03/2024;49;Mobile;6897;5
13492486;144083540;F-0324-1264325;01/03/2024;49;Mobile;7196;3
13576528;145517464;F-0324-1258032;01/03/2024;99;Mobile;8190;4
13645938;146884079;F-0324-1275164;01/03/2024;199;Mobile;9167;1
12822998;133196012;F-0324-1346624;04/03/2024;349;Fixe;4866;2
12295655;128292705;F-0324-1293123;02/03/2024;99;Mobile;4030;2
12575321;140657610;F-0324-1239211;01/03/2024;99;Mobile;4438;5
13635782;146785850;F-0324-1260851;01/03/2024;199;Mobile;8884;3
10658468;142935437;F-0324-1273471;01/03/2024;99;Mobile;2285;4
13376711;145350903;F-0324-1206968;03/03/2024;99;Mobile;6427;1
12061862;138411262;F-0324-1283093;02/03/2024;49;Mobile;3710;2
13631686;146752251;F-0324-1504900;04/03/2024;186,75;Mobile;8780;2
13444798;143429055;F-0324-1281655;02/03/2024;248,98;Fixe;6832;5
11791228;140645860;F-0324-1215260;03/03/2024;49;Mobile;3353;3
13475646;143841879;F-0324-1353957;04/03/2024;248,98;Fixe;7043;4
13697212;147938199;F-0324-1453205;04/03/2024;148,99;Fixe;10751;1
13089003;137467665;F-0324-0536062;02/03/2024;249;Fixe;5477;2
5979851;106749792;F-0324-1398221;04/03/2024;199;Mobile;640;2
12604144;129090481;F-0324-1232646;03/03/2024;49;Mobile;4480;5
13507833;144311943;F-0324-0564059;02/03/2024;49;Mobile;7389;3
12012865;148248751;F-0324-1235241;03/03/2024;49;Mobile;3641;4
13025978;145764293;F-0324-1016596;01/03/2024;148,99;Fixe;5324;1
12851381;136851973;F-0324-1296232;02/03/2024;49;Mobile;4935;2
13511377;144388441;F-0324-0565868;02/03/2024;199;Mobile;7435;2
10771318;98576484;F-0324-0456053;01/03/2024;199;Mobile;2386;5
11940867;116736324;F-0324-0588615;02/03/2024;99;Mobile;3544;3
13488601;144076780;F-0324-0424146;01/03/2024;49;Mobile;7142;4
13359288;142213227;F-0324-0602341;02/03/2024;49;Mobile;6332;1
13356419;142148167;F-0324-0575939;02/03/2024;49;Mobile;6315;2
13651118;146964803;F-0324-1039410;01/03/2024;49;Mobile;9319;2
13582952;145609280;F-0324-0495654;02/03/2024;99;Mobile;8255;5
12281831;121663228;F-0324-0491879;01/03/2024;49;Mobile;4000;3
6770125;148270084;F-0324-1057733;04/03/2024;49;Mobile;800;4
9663634;146788645;F-0324-1064699;04/03/2024;49;Mobile;1429;1
13641992;146876530;F-0324-1039939;01/03/2024;49;Mobile;9065;2
13621914;146431682;F-0324-1548750;04/03/2024;903,54;Fixe;8683;2
13416013;146791232;F-0324-1541242;01/03/2024;49;Mobile;6631;5
13694780;147853276;F-0324-1315554;04/03/2024;249;Mobile;10679;3
13286053;140893621;F-0324-1520828;01/03/2024;39,2;Mobile;6004;4
13629160;149052416;F-0324-1532025;04/03/2024;248,98;Fixe;8751;1
13580997;145605735;F-0324-0660452;02/03/2024;49;Mobile;8235;2
12334138;136866823;F-0923-0241840;01/09/2023;199;Mobile;4080;2
12334138;136866823;F-0823-0266672;01/08/2023;199;Mobile;4080;5
13566141;145431637;F-0324-1260739;01/03/2024;248,98;Fixe;8076;3
13684646;147606658;F-0324-1235701;03/03/2024;248,98;Fixe;10365;4
11894353;135291182;F-0423-1191672;04/04/2023;135,72;Fixe;3469;1
11894353;135291182;F-0523-1010039;04/05/2023;248,98;Fixe;3469;2
11894353;135291182;F-0723-1298808;04/07/2023;849;Fixe;3469;2
11480324;118012471;F-0324-1264688;01/03/2024;99;Mobile;3004;5
13338805;141936076;F-0324-1539410;01/03/2024;884,27;Mobile;6211;3
13652522;146967665;F-0224-1147104;02/02/2024;192,77;Mobile;9358;4
13652522;146967665;F-0324-1290841;02/03/2024;249;Mobile;9358;1
8611885;133237114;F-0324-1525887;04/03/2024;51,52;Fixe;1116;2
12035647;118030440;F-0324-1538681;01/03/2024;49;Mobile;3672;2
12908184;137530652;F-0324-0693164;02/03/2024;349;Fixe;5061;5
12334138;149446707;F-0324-1257512;01/03/2024;149;Mobile;4080;3
12103665;122406463;F-0324-1242103;01/03/2024;49;Mobile;3760;4
11614584;139694582;F-0324-1284106;02/03/2024;49;Mobile;3143;1
11614584;139694582;F-0224-0552453;02/02/2024;49;Mobile;3143;2
11894353;115989525;F-0324-1322618;04/03/2024;49;Mobile;3469;2
11894353;135291254;F-0523-1000828;04/05/2023;99;Mobile;3469;5
11894353;135291254;F-0623-1258626;04/06/2023;99;Mobile;3469;3
13611967;146012241;F-0324-1213291;03/03/2024;49;Mobile;8564;4
13685276;147607724;F-0224-0990418;03/02/2024;64,19;Mobile;10383;1
13685276;147607724;F-0324-1222206;03/03/2024;199;Mobile;10383;2
13013535;135842759;F-0324-1329603;04/03/2024;199;Mobile;5287;2
13013535;135842759;F-0224-0849882;04/02/2024;199;Mobile;5287;5
13615089;146118958;F-0324-1204779;03/03/2024;49;Mobile;8597;3
13641559;146877574;F-0224-1039081;01/02/2024;232,94;Mobile;9054;4
13641559;146877574;F-0324-1247542;01/03/2024;249;Mobile;9054;1
13666374;147143250;F-0324-1282759;02/03/2024;249;Fixe;9785;2
13679207;147436057;F-0224-1027115;03/02/2024;89,87;Mobile;10177;2
13679207;147436057;F-0324-1210694;03/03/2024;199;Mobile;10177;5
13007059;135766832;F-0324-1320249;04/03/2024;199;Mobile;5274;3
13007059;135766832;F-0224-0784631;04/02/2024;199;Mobile;5274;4
13512601;144390641;F-0324-1287333;02/03/2024;186,75;Mobile;7445;1
13512601;144390641;F-0224-1406881;02/02/2024;186,75;Mobile;7445;2
13669203;147149091;F-0324-1298769;02/03/2024;249;Mobile;9873;2
13510180;144316159;F-0324-1280543;02/03/2024;49;Mobile;7416;5
13664428;147139509;F-0224-1105960;02/02/2024;128,39;Mobile;9730;3
13664428;147139509;F-0324-1291166;02/03/2024;199;Mobile;9730;4
13511617;144388854;F-0324-1286725;02/03/2024;49;Mobile;7438;1
13679085;147435782;F-0324-1231605;03/03/2024;249;Mobile;10170;2
13462632;143658753;F-0224-0124035;03/02/2024;99;Mobile;6966;2
13462632;143658753;F-0324-1232483;03/03/2024;99;Mobile;6966;5
13701174;148026606;F-0324-1343395;04/03/2024;248,98;Fixe;10850;3
13602900;145915920;F-0324-1216793;03/03/2024;49;Mobile;8453;4
13671065;147252771;F-0324-1220687;03/03/2024;249;Mobile;9926;1
11654032;141906564;F-0324-1252096;01/03/2024;199;Mobile;3194;2
13423261;143037493;F-0324-1272735;01/03/2024;49;Mobile;6682;2
13617906;147025070;F-0224-1020105;03/02/2024;184,74;Mobile;8630;5
13617906;147025070;F-0324-1229591;03/03/2024;249;Mobile;8630;3
13617906;147257093;F-0224-1483556;03/02/2024;96,39;Mobile;8630;4
13617906;147257093;F-0324-1487807;03/03/2024;186,75;Mobile;8630;1
11618642;110554149;F-0324-1235336;03/03/2024;49;Mobile;3149;2
11499119;140661768;F-0324-1284597;02/03/2024;149;Mobile;3024;2
12396158;141230085;F-0324-1260218;01/03/2024;49;Mobile;4187;5
13115108;138390580;F-0324-1332262;04/03/2024;99;Mobile;5547;3
13334701;149437622;F-0324-1270228;01/03/2024;49;Mobile;6182;4
13617906;146223786;F-0324-0024505;03/03/2024;99;Mobile;8630;1
13082200;137214411;F-0324-1281022;02/03/2024;49;Mobile;5461;2
13062810;136864598;F-0324-1241021;01/03/2024;99;Mobile;5413;2
13062810;136864598;F-0224-0274517;01/02/2024;99;Mobile;5413;5
13640822;146874381;F-0224-1060479;01/02/2024;99;Mobile;9034;3
13640822;146874381;F-0324-1024827;01/03/2024;99;Mobile;9034;4
6314026;147602645;F-0324-1063726;04/03/2024;99;Mobile;712;1
13634047;146782868;F-0224-1067343;01/02/2024;49;Mobile;8833;2
13634047;146782868;F-0324-1041265;01/03/2024;49;Mobile;8833;2
13634047;146782873;F-0224-1090167;01/02/2024;49;Mobile;8833;5
13634047;146782873;F-0324-1040340;01/03/2024;49;Mobile;8833;3
12537677;127298536;F-0324-1283010;02/03/2024;49;Mobile;4383;4
13536801;144777534;F-0324-0012489;03/03/2024;49;Mobile;7727;1
13611736;146011839;F-0324-0021777;03/03/2024;249;Fixe;8560;2
13345287;142008010;F-0324-0428287;01/03/2024;49;Mobile;6244;2
13635213;146784811;F-0224-1057762;01/02/2024;99;Mobile;8870;5
13635213;146784811;F-0324-1025742;01/03/2024;99;Mobile;8870;3
13567098;146758441;F-0224-1092523;01/02/2024;49;Mobile;8089;4
13567098;146758441;F-0324-1017500;01/03/2024;49;Mobile;8089;1
12377830;148269801;F-0324-1050762;04/03/2024;99;Mobile;4158;2
13064785;136840415;F-0324-1530203;04/03/2024;149,25;Mobile;5418;2
13093307;137616183;F-0324-0498862;02/03/2024;148,99;Fixe;5491;5
13635906;146786074;F-0224-1057167;01/02/2024;49;Mobile;8886;3
13635906;146786074;F-0324-1024456;01/03/2024;49;Mobile;8886;4
6023077;144494835;F-0324-1058674;04/03/2024;59;Mobile;659;1
13294312;141088800;F-0124-1001494;02/01/2024;148,99;Fixe;6040;2
13294312;141088800;F-0224-0584061;02/02/2024;148,99;Fixe;6040;2
13294312;141088800;F-0324-1554804;02/03/2024;149;Fixe;6040;5
13513303;144392153;F-0324-1546068;02/03/2024;39,2;Mobile;7449;3
13084829;145607003;F-0224-1490153;02/02/2024;148,99;Fixe;5469;4
13084829;145607003;F-0324-1543383;02/03/2024;810,65;Fixe;5469;1
13498650;144154939;F-0324-1539633;01/03/2024;39,2;Mobile;7282;2
