NUMERO_DOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
13695466;147934884;F-0224-1163148;04/02/2024;49;Mobile;10699;5
13695466;147934884;F-0324-1050549;04/03/2024;49;Mobile;10699;3
13640405;146873637;F-0324-1040458;01/03/2024;99;Mobile;9022;4
13635286;146784926;F-0324-1023746;01/03/2024;48;Mobile;8872;1
12516566;130409393;F-0123-0018137;01/01/2023;49;Mobile;4361;2
12516566;130409393;F-1222-0880720;01/12/2022;49;Mobile;4361;2
12516566;128701744;F-0323-0873386;01/03/2023;249;Mobile;4361;5
12516566;128701744;F-0223-0891097;01/02/2023;249;Mobile;4361;3
12516566;148245101;F-0324-1006546;01/03/2024;99;Mobile;4361;4
13655100;147021512;F-0224-1145315;02/02/2024;99;Mobile;9439;1
13655100;147021512;F-0324-0992168;02/03/2024;99;Mobile;9439;2
13634117;146782973;F-0224-1037151;01/02/2024;49;Mobile;8835;2
13634117;146782973;F-0324-1040351;01/03/2024;49;Mobile;8835;5
13639115;146792136;F-0224-1038667;01/02/2024;49;Mobile;8991;3
13639115;146792136;F-0324-1021129;01/03/2024;49;Mobile;8991;4
13639115;146792616;F-0224-1099073;01/02/2024;199;Mobile;8991;1
13639115;146792616;F-0324-1018448;01/03/2024;199;Mobile;8991;2
7288103;147066731;F-0224-1192345;04/02/2024;49;Mobile;909;2
7288103;147066731;F-0324-1064412;04/03/2024;49;Mobile;909;5
12783922;145352502;F-0324-0991571;02/03/2024;109;Mobile;4793;3
13408953;148268312;F-0324-1540014;01/03/2024;49;Mobile;6569;4
13648541;146929027;F-0324-1540545;01/03/2024;130,38;Mobile;9246;1
13648541;146929027;F-0224-1036610;01/02/2024;173,32;Mobile;9246;2
12783577;132484047;F-0324-1518614;02/03/2024;68,69;Fixe;4791;2
13539260;148913974;F-0324-1509399;03/03/2024;248,99;Fixe;7759;5
13496236;144150506;F-0324-1540131;01/03/2024;66,5;Mobile;7237;3
13565997;145431376;F-0224-1041205;01/02/2024;248,98;Fixe;8073;4
13565997;145431376;F-0324-1538425;01/03/2024;977,78;Fixe;8073;1
11292099;144051088;F-0324-1524570;01/03/2024;99;Mobile;2828;2
11292099;144051088;F-0224-1385261;01/02/2024;48;Mobile;2828;2
5763885;147257015;F-0324-1551942;04/03/2024;149,25;Mobile;570;5
13093466;137616469;F-0324-1543949;02/03/2024;560,65;Fixe;5493;3
13093466;137616469;F-0224-0650338;02/02/2024;148,99;Fixe;5493;4
11991867;117390861;F-0224-0628382;02/02/2024;249;Fixe;3616;1
11991867;117390861;F-0324-1515278;02/03/2024;34,35;Fixe;3616;2
13699477;148022946;F-0324-1549136;04/03/2024;247,99;Fixe;10807;2
12825293;133226384;F-0823-1290075;01/08/2023;59;Mobile;4873;5
12825293;140139004;F-0324-1542472;01/03/2024;556,9;Fixe;4873;3
12979628;140675295;F-0324-1517419;02/03/2024;49;Mobile;5218;4
13419578;143030852;F-0224-0313321;01/02/2024;49;Mobile;6652;1
13419578;143030852;F-0324-0248459;01/03/2024;49;Mobile;6652;2
13343074;141944211;F-0224-0419099;01/02/2024;49;Mobile;6227;2
13343074;141944211;F-0324-0413961;01/03/2024;49;Mobile;6227;5
13334162;141928194;F-0324-0415442;01/03/2024;49;Mobile;6179;3
11123828;103205976;F-0324-0374016;01/03/2024;240;Fixe;2668;4
12038359;118035565;F-0324-0327434;01/03/2024;199;Mobile;3675;1
12038359;118035565;F-0224-0399165;01/02/2024;199;Mobile;3675;2
11295110;144669285;F-0324-0381493;01/03/2024;49;Mobile;2831;2
12391887;143202283;F-0324-0389689;01/03/2024;249;Fixe;4178;5
12035038;139801847;F-0923-0969717;01/09/2023;49;Mobile;3669;3
12035038;139801847;F-0823-1001357;01/08/2023;49;Mobile;3669;4
12035038;118029353;F-0324-0292617;01/03/2024;49;Mobile;3669;1
12035038;118029353;F-0224-0430074;01/02/2024;49;Mobile;3669;2
13136772;138513730;F-0823-0951140;01/08/2023;49;Mobile;5605;2
13136772;138513730;F-0723-1013448;01/07/2023;49;Mobile;5605;5
13136772;138513770;F-0324-0232566;01/03/2024;49;Mobile;5605;3
13136772;138513770;F-0224-1040512;01/02/2024;49;Mobile;5605;4
13490569;144080311;F-0224-0302755;01/02/2024;99;Mobile;7167;1
13490569;144080311;F-0324-0234225;01/03/2024;99;Mobile;7167;2
13567395;145433731;F-0224-1059303;01/02/2024;49;Mobile;8097;2
13567395;145433731;F-0324-0308455;01/03/2024;49;Mobile;8097;5
13488610;144076797;F-0324-0270010;01/03/2024;49;Mobile;7143;3
13334453;141928624;F-0324-0385532;01/03/2024;49;Mobile;6180;4
13334453;141928624;F-0224-0480966;01/02/2024;48;Mobile;6180;1
13211640;139887652;F-0324-0350969;01/03/2024;49;Mobile;5797;2
13211640;139887652;F-0224-0268593;01/02/2024;49;Mobile;5797;2
13412690;142958826;F-0224-0291377;01/02/2024;49;Mobile;6600;5
13412690;142958826;F-0324-0387760;01/03/2024;49;Mobile;6600;3
10317487;90740733;F-0224-1919395;23/02/2024;240;Mobile;2010;4
4969767;143843072;F-0224-2305893;23/02/2024;247,99;Fixe;368;1
4969767;145440740;F-0124-2117554;23/01/2024;49;Mobile;368;2
4969767;145440740;F-0224-1932240;23/02/2024;49;Mobile;368;2
10274410;89842219;F-0220-1123940;22/02/2020;1320;Mobile;1981;5
10274410;89842219;F-1219-0912673;22/12/2019;240;Mobile;1981;3
10274410;89842219;F-1119-2288531;23/11/2019;217,29;Mobile;1981;4
10274410;148912547;F-0224-2280162;21/02/2024;209;Mobile;1981;1
9987149;145432161;F-0224-2287169;23/02/2024;74,25;Mobile;1732;2
8217719;138780250;F-0224-2303106;22/02/2024;711,84;Mobile;1068;2
8217719;109775997;F-0523-1499508;22/05/2023;239;Fixe;1068;5
8217719;109775997;F-0623-2087747;22/06/2023;139,36;Fixe;1068;3
10564587;95694645;F-0320-1265830;22/03/2020;7;Mobile;2204;4
10564587;141733147;F-0124-2215482;23/01/2024;149,01;Fixe;2204;1
10564587;141733147;F-0224-2306894;23/02/2024;477,84;Fixe;2204;2
10489375;95274969;F-0224-1615004;21/02/2024;240;Mobile;2140;2
10489375;95274969;F-0124-1559474;21/01/2024;240;Mobile;2140;5
10302777;121138615;F-0224-1634498;21/02/2024;99;Mobile;2001;3
10302777;121138615;F-0124-1524190;21/01/2024;98;Mobile;2001;4
8431875;91315568;F-0224-1665924;21/02/2024;49;Mobile;1093;1
9714041;145902398;F-0224-1648085;21/02/2024;149;Mobile;1474;2
9720038;99037290;F-0224-2239722;23/02/2024;49;Mobile;1479;2
10009692;142444630;F-0224-2251878;23/02/2024;49;Mobile;1751;5
7668514;114479828;F-0224-2230054;22/02/2024;99;Mobile;977;3
5622608;125717662;F-0224-2215837;21/02/2024;149;Mobile;531;4
10472808;112090514;F-0224-2214325;21/02/2024;49;Mobile;2123;1
9683876;144685517;F-0224-2244812;23/02/2024;408,96;Mobile;1446;2
9683876;144685517;F-0124-2123774;23/01/2024;388,96;Mobile;1446;2
10097851;142790993;F-0224-2246898;23/02/2024;99;Mobile;1825;5
10230019;147400224;F-0224-2148310;23/02/2024;49;Mobile;1949;3
9752524;81641979;F-0820-0440435;18/08/2020;99;Mobile;1507;4
9752524;81641979;F-0920-1082593;18/09/2020;99;Mobile;1507;1
4466306;105537499;F-0224-2015982;23/02/2024;240;Fixe;270;2
4159474;125900464;F-0224-2029675;23/02/2024;240;Mobile;218;2
5451427;145912028;F-0124-2114060;23/01/2024;99;Mobile;487;5
5451427;145912028;F-0224-1984884;23/02/2024;99;Mobile;487;3
9173095;86141305;F-1121-1088987;18/11/2021;99;Mobile;1211;4
9173095;122864659;F-0224-2074900;23/02/2024;49;Mobile;1211;1
5325629;120184184;F-0224-1893537;23/02/2024;249;Fixe;455;2
5325629;135199932;F-0423-1907129;23/04/2023;49;Mobile;455;2
5325629;135199932;F-0323-1889006;23/03/2023;49;Mobile;455;5
5325629;135199932;F-0523-2048160;23/05/2023;49;Mobile;455;3
10010083;144906706;F-0224-1886947;23/02/2024;249;Fixe;1753;4
6772247;144080735;F-0224-1916431;23/02/2024;49;Mobile;804;1
6772247;144080735;F-0124-2014973;23/01/2024;47;Mobile;804;2
10493059;124377701;F-0922-1663407;23/09/2022;240;Fixe;2144;2
10493059;124377701;F-1022-1686260;23/10/2022;240;Fixe;2144;5
10493059;124377701;F-1222-1981189;23/12/2022;740;Fixe;2144;3
13672976;147256264;F-0224-2264237;22/02/2024;199;Mobile;9979;4
10016870;108451577;F-0124-1671806;22/01/2024;240;Mobile;1759;1
10016870;108451577;F-0224-2304001;22/02/2024;170,32;Mobile;1759;2
5100444;135769502;F-0224-2294983;23/02/2024;200,81;Mobile;399;2
8584775;133741291;F-0224-2301526;21/02/2024;38,52;Fixe;1114;5
8584775;133900467;F-0223-2021856;21/02/2023;249;Mobile;1114;3
10074820;86808290;F-0120-0806644;21/01/2020;199;Mobile;1808;4
10074820;86808290;F-0220-0274549;21/02/2020;199;Mobile;1808;1
10074820;98652443;F-0620-1171640;21/06/2020;199;Mobile;1808;2
10074820;98652443;F-0520-0781035;21/05/2020;199;Mobile;1808;2
10074820;124093399;F-0224-1650276;21/02/2024;199;Mobile;1808;5
9775087;144667324;F-0224-1641011;21/02/2024;249;Mobile;1527;3
10231742;88965552;F-0124-1846497;20/01/2024;49;Mobile;1950;4
10231742;88965552;F-0224-1858192;20/02/2024;49;Mobile;1950;1
4250539;97451567;F-0224-1881912;23/02/2024;240;Fixe;236;2
4327037;93705650;F-0124-1553143;21/01/2024;240;Mobile;248;2
4327037;93705650;F-0224-2302474;21/02/2024;61,94;Mobile;248;5
3382352;147068151;F-0124-2201725;22/01/2024;549;Mobile;5;3
3382352;147068151;F-0224-2282441;22/02/2024;49;Mobile;5;4
3382352;147068152;F-0124-2195924;22/01/2024;549;Mobile;5;1
3382352;147068152;F-0224-2283441;22/02/2024;49;Mobile;5;2
8085925;137532776;F-0124-2273896;21/01/2024;148,99;Fixe;1042;2
8085925;137532776;F-1223-2254152;21/12/2023;148,99;Fixe;1042;5
8085925;137532776;F-0224-2288278;21/02/2024;148,99;Fixe;1042;3
9107755;140335144;F-0224-2284274;23/02/2024;49;Mobile;1207;4
10338729;105612277;F-0224-1735954;22/02/2024;240;Fixe;2028;1
10064827;115719829;F-0224-1588133;21/02/2024;49;Mobile;1803;2
10064827;115719829;F-0124-1509761;21/01/2024;49;Mobile;1803;2
13536551;144777064;F-0224-1707291;22/02/2024;99;Mobile;7724;5
13536551;144777064;F-0124-2085859;22/01/2024;99;Mobile;7724;3
9785001;88548538;F-1022-1478190;22/10/2022;240;Mobile;1537;4
9785001;108628839;F-0224-1723172;22/02/2024;240;Fixe;1537;1
9785001;88548538;F-1122-1449448;22/11/2022;240;Mobile;1537;2
3628651;146434919;F-0124-2122862;23/01/2024;49;Mobile;45;2
3628651;146434919;F-0224-2156051;23/02/2024;49;Mobile;45;5
7557017;140332697;F-0224-2247315;23/02/2024;99;Mobile;957;3
10563230;104688347;F-0224-2220974;21/02/2024;49;Mobile;2203;4
10576119;138168507;F-0224-2243288;23/02/2024;49;Mobile;2219;1
10576119;95815347;F-0120-0717937;18/01/2020;49;Mobile;2219;2
10576119;95815347;F-1219-0728402;18/12/2019;49;Mobile;2219;2
9963404;127524206;F-0224-2217917;21/02/2024;49;Mobile;1699;5
10429961;148900909;F-0124-2262964;23/01/2024;99;Mobile;2096;3
10429961;148900909;F-0224-2238370;23/02/2024;49;Mobile;2096;4
9761694;148910258;F-0224-2249496;23/02/2024;149;Mobile;1518;1
10269743;122714192;F-0224-1558931;21/02/2024;49;Mobile;1979;2
10269743;116804070;F-0522-1675816;21/05/2022;48;Mobile;1979;2
9210345;74878338;F-0224-1988710;23/02/2024;199;Mobile;1217;5
9922033;142919649;F-0224-1971861;23/02/2024;148,99;Fixe;1673;3
9651645;105568480;F-0321-1569850;21/03/2021;49;Mobile;1419;4
9651645;105568480;F-0221-1541468;21/02/2021;46;Mobile;1419;1
9651645;105590959;F-0224-2085560;21/02/2024;89;Mobile;1419;2
6760800;113444191;F-0224-2005593;23/02/2024;49;Mobile;791;2
6760800;113444191;F-0124-2051498;23/01/2024;49;Mobile;791;5
10358533;91509678;F-0224-1774358;22/02/2024;240;Mobile;2045;3
9854116;145700794;F-0224-1932260;23/02/2024;49;Mobile;1607;4
9968087;145700813;F-0224-1887147;23/02/2024;49;Mobile;1707;1
8230165;86148671;28-I9MA-281475;01/09/2019;49;Mobile;1072;2
8230165;86148671;28-H9MA-159026;01/08/2019;49;Mobile;1072;2
8230165;148905159;F-0224-2303586;22/02/2024;99;Mobile;1072;5
10009280;118808297;F-0124-2213880;23/01/2024;199;Mobile;1749;3
10009280;118808297;F-0224-2295864;23/02/2024;38,52;Mobile;1749;4
10351873;91369394;F-0224-2302867;22/02/2024;162,58;Mobile;2037;1
8219172;135649430;F-0224-2290293;23/02/2024;199;Fixe;1070;2
12988621;135524739;F-0224-1721421;22/02/2024;249;Mobile;5242;2
7558587;94750351;F-0224-1737542;22/02/2024;240;Mobile;959;5
10121197;87349838;F-0224-1753872;22/02/2024;199;Mobile;1845;3
10121197;87349838;F-0124-1687377;22/01/2024;199;Mobile;1845;4
10490935;146968468;F-0224-2171361;23/02/2024;99;Mobile;2142;1
10291894;108958261;F-0224-2222528;21/02/2024;49;Mobile;1994;2
5856412;105593025;F-0224-2251836;23/02/2024;99;Mobile;599;2
7850707;143521682;F-0224-2138770;23/02/2024;159;Mobile;1005;5
10525463;143493263;F-0224-2248196;23/02/2024;49;Mobile;2181;3
10444372;130116060;F-0224-2218370;21/02/2024;49;Mobile;2102;4
10425784;144676213;F-0224-2222514;21/02/2024;99;Mobile;2091;1
10425784;97257940;F-0620-1170518;21/06/2020;49;Mobile;2091;2
10425784;97257940;F-0520-0663910;21/05/2020;24,99;Mobile;2091;2
10107097;143430731;F-0224-2220998;21/02/2024;248,98;Fixe;1835;5
6402829;109707790;F-0224-2245527;23/02/2024;49;Mobile;727;3
3941821;107024738;F-0224-2247058;23/02/2024;99;Mobile;163;4
9754789;134390374;F-0224-2247280;23/02/2024;49;Mobile;1509;1
8552585;125545552;F-0822-1896363;23/08/2022;20;Mobile;1108;2
8552585;146119670;F-0224-2147255;23/02/2024;49;Mobile;1108;2
3966777;145434151;F-0224-2223202;21/02/2024;199;Mobile;174;5
9519327;111242958;F-0224-2220645;21/02/2024;68;Mobile;1320;3
9790179;144667856;F-0224-1561139;21/02/2024;49;Mobile;1544;4
7414567;124752425;F-0224-1969709;23/02/2024;49;Mobile;930;1
7414567;122878389;F-1022-1952437;23/10/2022;99;Mobile;930;2
7414567;122878389;F-0622-1877470;23/06/2022;98;Mobile;930;2
8893846;85314337;F-0224-2110959;18/02/2024;99;Mobile;1157;5
8893846;94310120;F-1119-1329403;18/11/2019;49;Mobile;1157;3
8893846;94310120;F-1019-0872678;18/10/2019;48;Mobile;1157;4
5216274;115989544;F-0224-2007520;23/02/2024;249;Fixe;421;1
5216274;115989544;F-0124-1870439;23/01/2024;249;Fixe;421;2
10215051;88730765;F-0820-1201702;21/08/2020;199;Mobile;1936;2
10215051;88730765;F-0720-0861284;21/07/2020;191,99;Mobile;1936;5
10215051;110604075;F-0224-2108317;21/02/2024;6;Mobile;1936;3
9395222;117595693;F-0224-1781427;22/02/2024;240;Mobile;1269;4
9531547;144672723;F-0224-1812839;22/02/2024;49;Mobile;1326;1
9592773;143204816;F-0224-1944104;23/02/2024;99;Mobile;1375;2
5222448;118360958;F-0224-1808741;22/02/2024;249;Fixe;424;2
6819519;125718429;F-0224-2281804;22/02/2024;144;Mobile;829;5
6819519;91760350;27-H19L-442857;01/08/2019;249,58;Mobile;829;3
6819519;91760350;27-I19L-445817;01/09/2019;240;Mobile;829;4
6819519;125732387;F-0523-1465388;22/05/2023;199;Mobile;829;1
6819519;125732387;F-0623-1510983;22/06/2023;199;Mobile;829;2
5498418;139537834;F-0124-1982211;23/01/2024;199;Mobile;500;2
5498418;139537834;F-0224-2294892;23/02/2024;134,81;Mobile;500;5
9957480;108839195;F-0224-2303505;22/02/2024;69,68;Fixe;1696;3
10183007;88241981;F-0224-1687777;18/02/2024;49;Mobile;1906;4
10258937;124495370;F-0224-1720176;22/02/2024;240;Mobile;1970;1
10258937;126827314;F-1022-1790153;22/10/2022;49;Mobile;1970;2
10258937;126827314;F-1122-1457879;22/11/2022;49;Mobile;1970;2
10182830;88241826;F-0224-1702206;22/02/2024;240;Mobile;1905;5
6828961;112725805;F-0224-1575505;21/02/2024;240;Fixe;839;3
9850163;144909496;F-0224-2236321;22/02/2024;49;Mobile;1604;4
4467940;122716771;F-0224-2251070;23/02/2024;115,87;Fixe;273;1
7358463;90440608;F-0623-1579642;22/06/2023;199;Mobile;920;2
7358463;86850420;F-0224-2230064;22/02/2024;99;Mobile;920;2
9188965;92793250;F-0224-2225777;19/02/2024;10;Mobile;1214;5
9188965;92793250;F-0124-2101272;19/01/2024;3;Mobile;1214;3
6398463;105597162;F-1121-1604598;22/11/2021;49;Mobile;724;4
6398463;131621179;F-0224-1796935;22/02/2024;49;Mobile;724;1
6398463;107192311;F-0224-2229735;22/02/2024;49;Mobile;724;2
6398463;148904201;F-0224-2234907;22/02/2024;49;Mobile;724;2
9024276;115704197;F-0224-2249329;23/02/2024;48;Mobile;1198;5
9716265;125736965;F-0224-2218564;21/02/2024;49;Mobile;1477;3
6754278;122032214;F-0224-2247454;23/02/2024;49;Mobile;785;4
7922166;113377102;F-0921-1417085;21/09/2021;49;Mobile;1019;1
7922166;113377102;F-0821-1369164;21/08/2021;48;Mobile;1019;2
7922166;119134033;F-0224-2122853;22/02/2024;9;Mobile;1019;2
10477385;144315128;F-0224-1551396;21/02/2024;49;Mobile;2127;5
9890634;137896443;F-0224-2254015;23/02/2024;49;Mobile;1646;3
9890634;84860931;F-0623-2040063;23/06/2023;49;Mobile;1646;4
9890634;84860931;F-0723-1805180;23/07/2023;49;Mobile;1646;1
10196977;88462490;F-0224-2302776;18/02/2024;99;Mobile;1914;2
9921141;85540403;F-0224-1711747;22/02/2024;449;Fixe;1671;2
9796667;82482363;F-0224-1733300;22/02/2024;199;Mobile;1548;5
6732545;59956420;F-0224-2174117;23/02/2024;239;Mobile;781;3
10493628;145902603;F-0224-2222589;21/02/2024;119;Mobile;2146;4
7530344;134663147;F-0224-2155244;23/02/2024;59;Mobile;954;1
9002005;105584564;F-0224-2227364;22/02/2024;49;Mobile;1193;2
8005905;129111908;F-1122-1867983;23/11/2022;49;Mobile;1035;2
8005905;106459680;F-0321-1551353;21/03/2021;99;Mobile;1035;5
8005905;144675733;F-0224-2243482;23/02/2024;49;Mobile;1035;3
8962541;97717792;F-0224-2222351;21/02/2024;49;Mobile;1189;4
4715046;120653649;F-0422-1713974;23/04/2022;79,2;Mobile;323;1
4715046;142450127;F-0224-2249571;23/02/2024;111,75;Mobile;323;2
4715046;121997553;F-0223-1944433;23/02/2023;749;Fixe;323;2
4715046;121997553;F-1122-1659657;23/11/2022;249;Fixe;323;5
4715046;121997553;F-1222-1628072;23/12/2022;249;Fixe;323;3
4713066;116282000;F-0224-2143737;23/02/2024;109;Mobile;321;4
4713066;98584226;F-1121-1628706;23/11/2021;99;Mobile;321;1
4713066;98584226;F-1021-1587242;23/10/2021;98;Mobile;321;2
10296486;147024688;F-0224-2123836;22/02/2024;49;Mobile;1996;2
9479795;124084930;F-0224-2248915;23/02/2024;148;Mobile;1294;5
10354781;91404578;F-0224-1551151;21/02/2024;199;Mobile;2040;3
10354781;91404578;F-0124-1507118;21/01/2024;199;Mobile;2040;4
10134194;144496981;F-0224-2049145;23/02/2024;49;Mobile;1858;1
5438963;100542194;F-0523-1596271;22/05/2023;240;Fixe;484;2
5438963;100542194;F-0423-1853446;22/04/2023;240;Fixe;484;2
5438963;122016319;F-0224-2117712;22/02/2024;249;Mobile;484;5
6611263;111235135;F-0224-2069984;23/02/2024;49;Mobile;763;3
9860640;104710671;F-0224-1810427;22/02/2024;240;Mobile;1616;4
9557931;138717088;F-0224-1934661;23/02/2024;99;Mobile;1347;1
3858375;95595252;F-0224-1931367;23/02/2024;240;Fixe;126;2
10486701;94246583;F-1021-1567350;22/10/2021;240;Mobile;2136;2
10486701;94817038;F-0224-1785740;22/02/2024;240;Mobile;2136;5
10486701;94246583;F-1121-1707913;22/11/2021;240;Mobile;2136;3
10039179;128457503;F-0224-2306488;23/02/2024;44,4;Mobile;1779;4
9972171;86000529;F-0224-2304811;19/02/2024;99;Mobile;1715;1
10523268;143200903;F-0224-2292786;21/02/2024;51,36;Mobile;2177;2
6399143;145363598;F-0224-1651713;21/02/2024;49;Mobile;726;2
9967901;85989224;F-0124-1579714;21/01/2024;199;Mobile;1706;5
9967901;85989224;F-0224-1623390;21/02/2024;199;Mobile;1706;3
9855387;114478237;F-0224-1699024;22/02/2024;99;Mobile;1610;4
9855387;114478237;F-0124-1791386;22/01/2024;99;Mobile;1610;1
10146704;100882371;F-0224-1618101;21/02/2024;199;Mobile;1873;2
10146704;100390962;F-0821-1448222;21/08/2021;199;Mobile;1873;2
10146704;100390962;F-0721-1516686;21/07/2021;199;Mobile;1873;5
10321768;92116695;28-J9MA-134270;01/10/2019;49;Mobile;2011;3
10321768;94246950;F-0223-1509447;22/02/2023;240;Mobile;2011;4
10321768;94246950;F-0123-1539129;22/01/2023;240;Mobile;2011;1
10321768;92116695;F-1019-0781056;22/10/2019;49;Mobile;2011;2
10370468;122861288;F-0224-2251318;23/02/2024;99;Mobile;2053;2
5907635;143515848;F-0224-2219517;21/02/2024;149;Mobile;620;5
9670135;137801850;F-0224-2251516;23/02/2024;129;Mobile;1433;3
