NUMERODOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
13294734;141089554;F-0324-1281211;02/03/2024;24898;Fixe;6041;5
13669970;147150513;F-0324-1280966;02/03/2024;24898;Fixe;9896;3
12020914;117764057;F-0324-1231042;03/03/2024;39;Mobile;3652;4
12824418;133199905;F-0324-1329843;04/03/2024;49;Mobile;4870;1
13683463;147603986;F-0324-1219901;03/03/2024;249;Mobile;10322;2
12966731;135244002;F-0324-1285015;02/03/2024;49;Mobile;5198;2
12386437;123494409;F-0324-1257888;01/03/2024;99;Mobile;4167;5
12386437;123494409;F-0224-0356935;01/02/2024;99;Mobile;4167;3
13607021;145923243;F-0324-1231089;03/03/2024;49;Mobile;8512;4
13500178;144237785;F-0324-1243854;01/03/2024;114;Mobile;7292;1
13653532;146969473;F-0324-1290445;02/03/2024;199;Mobile;9386;2
13322581;144305082;F-0324-1317809;04/03/2024;49;Mobile;6138;2
13356497;142148304;F-0324-1294054;02/03/2024;49;Mobile;6317;5
12282994;139702876;F-0324-1243097;01/03/2024;199;Mobile;4003;3
13460646;143533901;F-0324-1206770;03/03/2024;59;Mobile;6950;4
13665956;147142453;F-0324-1285080;02/03/2024;249;Mobile;9774;1
12873318;138582109;F-0324-1338912;04/03/2024;49;Mobile;4979;2
12873318;134065643;F-0723-1337699;04/07/2023;49;Mobile;4979;2
13348066;142012899;F-0324-1268430;01/03/2024;14925;Mobile;6257;5
13368911;143506570;F-0324-1286057;02/03/2024;49;Mobile;6386;3
13311136;141358049;F-0324-1228769;03/03/2024;49;Mobile;6098;4
13521796;144511787;F-0324-1298953;02/03/2024;49;Mobile;7544;1
13619337;146426830;F-0324-1324801;04/03/2024;49;Mobile;8654;2
13656897;147024821;F-0224-1105223;02/02/2024;18474;Mobile;9500;2
13656897;147024821;F-0324-1285759;02/03/2024;249;Mobile;9500;5
12789726;132556189;F-0324-1281813;02/03/2024;47;Mobile;4803;3
13696738;147937330;F-0324-1334049;04/03/2024;49;Mobile;10736;4
12691458;130583392;F-0324-1334744;04/03/2024;249;Fixe;4610;1
13204471;139714398;F-0324-1266219;01/03/2024;49;Mobile;5780;2
13502104;144241531;F-0324-1267236;01/03/2024;49;Mobile;7314;2
13661733;147134357;F-0224-1136639;02/02/2024;13481;Mobile;9658;5
13661733;147134357;F-0324-1289663;02/03/2024;199;Mobile;9658;3
13574012;145445905;F-0324-1266237;01/03/2024;49;Mobile;8160;4
11560354;109686750;F-0324-1232437;03/03/2024;99;Mobile;3083;1
11327192;111666553;F-0324-1291298;02/03/2024;49;Mobile;2861;2
13643548;146879640;F-0324-1264152;01/03/2024;199;Mobile;9104;2
13382705;142521286;F-0324-1216469;03/03/2024;49;Mobile;6456;5
13640582;146873958;F-0324-1271243;01/03/2024;34896;Fixe;9026;3
13698194;148020176;F-0324-1311365;04/03/2024;49;Mobile;10769;4
12980471;135765703;F-0823-1374004;02/08/2023;45032;Fixe;5224;1
12980471;135388382;F-0324-1287529;02/03/2024;49;Mobile;5224;2
13682776;147602746;F-0324-1222602;03/03/2024;199;Mobile;10303;2
13680555;147518719;F-0324-1232497;03/03/2024;24898;Fixe;10220;5
11199302;109177890;F-0324-1299491;02/03/2024;99;Mobile;2755;3
13682753;147602801;F-0324-0922298;03/03/2024;14899;Fixe;10301;4
10835602;129869695;F-0324-0849053;04/03/2024;249;Fixe;2428;1
13677085;147432205;F-0324-0925326;03/03/2024;49;Mobile;10108;2
13677912;147433731;F-0224-1031603;03/02/2024;49;Mobile;10136;2
13677912;147433731;F-0324-0925329;03/03/2024;49;Mobile;10136;5
10835602;135771784;F-0324-0894873;04/03/2024;249;Fixe;2428;3
13679151;147435906;F-0324-0926501;03/03/2024;49;Mobile;10174;4
6832342;134340150;F-0324-0817809;04/03/2024;649;Fixe;844;1
5517723;130023928;F-0324-0887388;04/03/2024;249;Fixe;504;2
4274755;130903539;F-0324-0829047;04/03/2024;249;Fixe;241;2
12084745;143980637;F-0324-0891163;04/03/2024;249;Fixe;3739;5
11578040;129386328;F-0224-0937458;04/02/2024;99;Mobile;3097;3
11578040;129386328;F-0324-0887365;04/03/2024;99;Mobile;3097;4
13660452;147071515;F-0324-0949166;02/03/2024;99;Mobile;9602;1
12558932;141940738;F-0324-0877687;04/03/2024;14899;Fixe;4415;2
8598675;112165742;F-0324-0811293;04/03/2024;240;Fixe;1115;2
13664822;147140254;F-0324-0966204;02/03/2024;99;Mobile;9742;5
13672719;147255724;F-0324-0908977;03/03/2024;149;Mobile;9971;3
13686838;147610461;F-0224-1031816;03/02/2024;99;Mobile;10434;4
13686838;147610461;F-0324-0908601;03/03/2024;99;Mobile;10434;1
13688848;147694382;F-0224-1004323;03/02/2024;49;Mobile;10504;2
13688848;147694382;F-0324-0909065;03/03/2024;49;Mobile;10504;2
13671180;147253003;F-0324-0915701;03/03/2024;49;Mobile;9930;5
5781186;106397308;F-0324-0877711;04/03/2024;240;Mobile;574;3
13670813;147152079;F-0324-0951370;02/03/2024;14899;Fixe;9919;4
13655314;147021914;F-0324-0968650;02/03/2024;49;Mobile;9445;1
13535767;144775758;F-0324-0944501;03/03/2024;14899;Fixe;7711;2
12131582;119209477;F-0224-1025033;03/02/2024;49;Mobile;3802;2
12131582;146787889;F-0224-1022907;03/02/2024;99;Mobile;3802;5
12131582;146787889;F-0324-0916446;03/03/2024;99;Mobile;3802;3
13671543;147253771;F-0224-1029991;03/02/2024;49;Mobile;9939;4
13671543;147253771;F-0324-0943373;03/03/2024;49;Mobile;9939;1
13595075;145893476;F-0324-0963516;02/03/2024;14899;Fixe;8376;2
13595075;145885935;F-0324-0988160;02/03/2024;14899;Fixe;8376;2
3949415;106246910;F-0224-0934891;04/02/2024;349;Fixe;166;5
3949415;106246910;F-0324-0896239;04/03/2024;349;Fixe;166;3
13595465;145886653;F-0324-1306055;02/03/2024;49;Mobile;8381;4
11955746;149455819;F-0324-1224936;03/03/2024;99;Mobile;3566;1
13547483;144977529;F-0224-0781593;04/02/2024;49;Mobile;7853;2
13547483;144977529;F-0324-1316287;04/03/2024;49;Mobile;7853;2
13172461;139119241;F-0324-0949088;03/03/2024;49;Mobile;5701;5
13162411;138876130;F-0324-1303923;02/03/2024;199;Mobile;5670;3
13694412;147852637;F-0324-1324852;04/03/2024;49;Mobile;10670;4
13235530;140238448;F-0324-1300233;02/03/2024;104;Mobile;5862;1
13471746;143834267;F-0324-1320107;04/03/2024;49;Mobile;7019;2
11662689;144081507;F-0324-1277045;02/03/2024;99;Mobile;3205;2
13490120;144079426;F-0324-1254738;01/03/2024;99;Mobile;7162;5
13008120;135768955;F-0324-1336133;04/03/2024;249;Mobile;5275;3
12345683;122615893;F-0324-1290805;02/03/2024;369;Mobile;4100;4
13693539;147851031;F-0324-1326732;04/03/2024;49;Mobile;10655;1
13702802;148080172;F-0324-1315490;04/03/2024;249;Mobile;10895;2
13688984;147694633;F-0324-1212402;03/03/2024;249;Mobile;10505;2
12909924;134493270;F-0324-1279235;02/03/2024;49;Mobile;5065;5
13360942;142216606;F-0324-1282446;02/03/2024;49;Mobile;6339;3
12581163;128571014;F-0324-1243713;01/03/2024;249;Mobile;4447;4
12724341;131287611;F-0324-1292509;02/03/2024;199;Mobile;4664;1
13696975;147937596;F-0224-1162648;04/02/2024;49;Mobile;10745;2
13696975;147937596;F-0324-1315465;04/03/2024;49;Mobile;10745;2
13672205;147254883;F-0224-0992502;03/02/2024;10271;Mobile;9954;5
13672205;147254883;F-0324-1207684;03/03/2024;199;Mobile;9954;3
10694518;116263052;F-0324-1223726;03/03/2024;49;Mobile;2323;4
11493488;136841729;F-0324-1280805;02/03/2024;99;Mobile;3019;1
13061025;141927606;F-0324-1319804;04/03/2024;99;Mobile;5407;2
13181181;146785536;F-0324-1223801;03/03/2024;249;Mobile;5724;2
13181181;146785536;F-0224-1032790;03/02/2024;249;Mobile;5724;5
13125944;138389692;F-0324-1337907;04/03/2024;249;Fixe;5577;3
12870137;146759560;F-0324-1236007;03/03/2024;49;Mobile;4972;4
13629394;146668147;F-0324-1321205;04/03/2024;24898;Fixe;8753;1
13426626;143113488;F-0324-1250236;01/03/2024;49;Mobile;6708;2
10901474;99989198;F-0324-1274380;01/03/2024;49;Mobile;2490;2
10728566;141919861;F-0324-1249494;01/03/2024;49;Mobile;2352;5
13241490;143195935;F-0324-1208460;03/03/2024;249;Fixe;5878;3
13681253;147519935;F-0324-1224194;03/03/2024;249;Mobile;10244;4
13620630;146429217;F-0324-1320370;04/03/2024;249;Mobile;8668;1
13102900;137810699;F-0324-1229967;03/03/2024;119;Mobile;5521;2
10855369;134327375;F-0324-1294988;02/03/2024;264;Mobile;2444;2
11315069;138415344;F-0324-1280497;02/03/2024;49;Mobile;2848;5
12884703;134328526;F-0324-1266696;01/03/2024;49;Mobile;5009;3
11232077;105108128;F-0324-1254885;01/03/2024;49;Mobile;2783;4
13675210;147343873;F-0324-1218597;03/03/2024;249;Mobile;10054;1
12738155;146969269;F-0324-1220283;03/03/2024;49;Mobile;4686;2
13189847;146966474;F-0324-0913740;03/03/2024;49;Mobile;5743;2
13677589;147433118;F-0224-1008010;03/02/2024;49;Mobile;10122;5
13677589;147433118;F-0324-0927099;03/03/2024;49;Mobile;10122;3
13213653;139891342;F-0324-1258524;01/03/2024;49;Mobile;5803;4
13151211;140666790;F-0224-1413060;02/02/2024;7;Mobile;5643;1
13151211;140666790;F-0324-1296635;02/03/2024;99;Mobile;5643;2
12938688;134946320;F-0324-1328135;04/03/2024;249;Fixe;5133;2
12114747;119062673;F-0324-1297109;02/03/2024;49;Mobile;3777;5
12699565;130844275;F-0324-1242496;01/03/2024;99;Mobile;4619;3
13659617;147069965;F-0324-1305755;02/03/2024;199;Mobile;9574;4
13682866;147602966;F-0324-1226197;03/03/2024;199;Mobile;10308;1
11482818;141931061;F-0324-0870394;04/03/2024;49;Mobile;3008;2
5843965;126642437;F-0324-0872820;04/03/2024;49;Mobile;591;2
13671162;147252964;F-0224-1033597;03/02/2024;49;Mobile;9929;5
13671162;147252964;F-0324-0937596;03/03/2024;49;Mobile;9929;3
10760166;136957095;F-0324-0840536;04/03/2024;149;Mobile;2373;4
5025159;135876336;F-0324-0811769;04/03/2024;249;Fixe;381;1
13677741;147433416;F-0224-1023802;03/02/2024;99;Mobile;10127;2
13677741;147433416;F-0324-0947020;03/03/2024;99;Mobile;10127;2
13689684;147695864;F-0324-0939863;03/03/2024;14899;Fixe;10535;5
13675819;147344900;F-0324-0946308;03/03/2024;49;Mobile;10070;3
13655274;147021817;F-0324-0973590;02/03/2024;49;Mobile;9443;4
13663991;147138729;F-0324-0955863;02/03/2024;14899;Fixe;9718;1
13677479;147432958;F-0224-1023207;03/02/2024;49;Mobile;10120;2
13677479;147432958;F-0324-0925892;03/03/2024;49;Mobile;10120;2
13660629;147131951;F-0224-1139740;02/02/2024;99;Mobile;9606;5
13660629;147131951;F-0324-0975493;02/03/2024;99;Mobile;9606;3
4092662;141943281;F-0324-0805090;04/03/2024;49;Mobile;211;4
13688337;147693441;F-0224-1020420;03/02/2024;49;Mobile;10478;1
13688337;147693441;F-0324-0934718;03/03/2024;49;Mobile;10478;2
13593954;145811703;F-0324-0969061;02/03/2024;14899;Fixe;8364;2
13689491;147695516;F-0324-0944966;03/03/2024;99;Mobile;10523;5
13689399;147695338;F-0324-0910430;03/03/2024;49;Mobile;10520;3
13358212;148246918;F-0324-0974049;02/03/2024;99;Mobile;6326;4
11702500;118754974;F-0324-0889593;04/03/2024;249;Fixe;3250;1
13673512;147257230;F-0324-0934195;03/03/2024;14899;Fixe;9997;2
13682947;147603140;F-0324-0948653;03/03/2024;49;Mobile;10310;2
13553974;145140229;F-0324-1382390;04/03/2024;199;Mobile;7925;5
13547369;144977369;F-0324-1381285;04/03/2024;49;Mobile;7852;3
5118181;111447737;F-0324-0810127;04/03/2024;240;Fixe;402;4
4582565;119496374;F-0324-0890044;04/03/2024;49;Mobile;295;1
13684262;147605616;F-0224-0995315;03/02/2024;99;Mobile;10350;2
13684262;147605616;F-0324-0924415;03/03/2024;99;Mobile;10350;2
13479022;143918711;F-0224-1162896;04/02/2024;49;Mobile;7070;5
13479022;143918711;F-0324-1359364;04/03/2024;154;Mobile;7070;3
13404129;142856548;F-0324-1448511;04/03/2024;14899;Fixe;6544;4
13691616;147767221;F-0324-1446990;04/03/2024;14899;Fixe;10595;1
5775329;120541647;F-0324-1406416;04/03/2024;99;Mobile;572;2
13692258;147768380;F-0324-1347423;04/03/2024;49;Mobile;10619;2
5023316;145366567;F-0324-1427382;04/03/2024;99;Mobile;380;5
5023316;145517506;F-0224-1523907;04/02/2024;78655;Fixe;380;3
13532374;144672789;F-0324-0109988;03/03/2024;249;Mobile;7658;4
13460790;143534192;F-0224-0023903;03/02/2024;199;Mobile;6953;1
13460790;143534192;F-0324-0149441;03/03/2024;199;Mobile;6953;2
13539439;144842745;F-0224-0192652;03/02/2024;49;Mobile;7763;2
13539439;144842745;F-0324-0179202;03/03/2024;49;Mobile;7763;5
13549703;145071451;F-0324-1502840;04/03/2024;279;Fixe;7879;3
12157926;119710761;F-0324-1492703;01/03/2024;17841;Mobile;3852;4
13691037;147766159;F-0324-1357624;04/03/2024;24898;Fixe;10577;1
6818915;133949962;F-0324-1437979;04/03/2024;69;Mobile;828;2
3531159;147608865;F-0324-1429675;04/03/2024;249;Fixe;31;2
3531159;118367235;F-1223-1432736;04/12/2023;2158;Fixe;31;5
13699063;148021958;F-0324-1445526;04/03/2024;14899;Fixe;10796;3
13454784;143507729;F-0324-0077019;03/03/2024;49;Mobile;6909;4
12423847;124051778;F-0324-0093924;03/03/2024;99;Mobile;4233;1
13097912;146013972;F-0324-0152079;03/03/2024;49;Mobile;5508;2
13318928;141512223;F-0324-0111197;03/03/2024;49;Mobile;6124;2
13467850;143827237;F-0224-0089715;03/02/2024;47;Mobile;6993;5
13467850;143827237;F-0324-0136878;03/03/2024;49;Mobile;6993;3
13310988;141357766;F-0324-0111148;03/03/2024;49;Mobile;6096;4
12374577;135041563;F-0324-0793461;04/03/2024;99;Mobile;4150;1
13621200;146430122;F-0324-0745783;04/03/2024;49;Mobile;8677;2
11900796;116126942;F-0224-0744016;04/02/2024;199;Mobile;3477;2
11900796;116126942;F-0324-0760603;04/03/2024;199;Mobile;3477;5
3936330;140597342;F-0324-0796501;04/03/2024;249;Fixe;157;3
11185435;112565291;F-0324-0647971;02/03/2024;99;Mobile;2737;4
13359253;142213166;F-0324-0623759;02/03/2024;49;Mobile;6331;1
5763418;140229254;F-0324-0796862;04/03/2024;14899;Fixe;569;2
12444225;124646859;F-0324-0753948;04/03/2024;249;Fixe;4256;2
11469309;108212525;F-0324-0750846;04/03/2024;240;Fixe;2991;5
12027227;117877760;F-0324-0764622;04/03/2024;249;Fixe;3660;3
13181594;139232942;F-0324-1234961;03/03/2024;49;Mobile;5726;4
13181594;142429148;F-0324-1205913;03/03/2024;199;Mobile;5726;1
13673333;147256880;F-0324-1227191;03/03/2024;99;Mobile;9990;2
13673333;147256880;F-0224-1482259;03/02/2024;99;Mobile;9990;2
12549215;127700272;F-0324-1216059;03/03/2024;175;Mobile;4401;5
13200238;144064842;F-0324-1269120;01/03/2024;129;Mobile;5763;3
13454438;143507131;F-0324-1221312;03/03/2024;49;Mobile;6904;4
13696826;147937501;F-0324-1326838;04/03/2024;199;Mobile;10743;1
13217796;149190476;F-0324-0955033;02/03/2024;12983;Fixe;5812;2
10619963;130820829;F-0324-1268471;01/03/2024;49;Mobile;2252;2
13530982;144670182;F-0224-0025426;03/02/2024;49;Mobile;7645;5
13530982;144670182;F-0324-0024174;03/03/2024;49;Mobile;7645;3
12493705;126020820;F-0324-0015439;03/03/2024;249;Fixe;4327;4
13217796;140039385;F-0324-0594084;02/03/2024;14899;Fixe;5812;1
13169174;139033011;F-0324-0592535;02/03/2024;49;Mobile;5696;2
11269206;105559593;F-0324-0536633;02/03/2024;49;Mobile;2807;2
13207176;139799395;F-0324-0437544;01/03/2024;99;Mobile;5786;5
12915113;134505260;F-0324-0587698;02/03/2024;249;Mobile;5076;3
13497443;144152821;F-0324-0420756;01/03/2024;249;Fixe;7259;4
13579119;145602257;F-0324-0460988;01/03/2024;49;Mobile;8219;1
13571458;145441200;F-0324-0447570;01/03/2024;49;Mobile;8143;2
13356050;142147557;F-0224-0509000;02/02/2024;49;Mobile;6314;2
13356050;142147557;F-0324-0540744;02/03/2024;49;Mobile;6314;5
11546282;146777127;F-0324-0606951;02/03/2024;99;Mobile;3074;3
13651049;146964647;F-0324-1041333;01/03/2024;99;Mobile;9316;4
11366026;142932197;F-0324-1011508;01/03/2024;124;Mobile;2888;1
13633776;146757811;F-0324-1017353;01/03/2024;49;Mobile;8818;2
6989773;147606978;F-0224-1186453;04/02/2024;49;Mobile;879;2
6989773;147606978;F-0324-1061518;04/03/2024;49;Mobile;879;5
13646493;146925359;F-0324-1020294;01/03/2024;49;Mobile;9184;3
13634380;146783394;F-0324-1019836;01/03/2024;49;Mobile;8841;4
13636075;146786356;F-0324-1025223;01/03/2024;49;Mobile;8890;1
13648569;146929065;F-0324-1030030;01/03/2024;149;Mobile;9247;2
13639134;146792181;F-0324-1021133;01/03/2024;49;Mobile;8992;2
13156728;147149648;F-0324-1546304;02/03/2024;199;Mobile;5655;5
13682681;147602618;F-0324-1510908;03/03/2024;7425;Mobile;10295;3
10999552;142366407;F-0324-0390629;01/03/2024;199;Mobile;2558;4
13636697;146787437;F-0324-1039781;01/03/2024;49;Mobile;8910;1
13277153;140753308;F-0224-0303577;01/02/2024;14901;Fixe;5983;2
13277153;140753308;F-0324-1539516;01/03/2024;22094;Fixe;5983;2
12348443;122671663;F-0324-1513790;02/03/2024;12021;Fixe;4107;5
4208006;121541100;F-0324-1526556;04/03/2024;99;Mobile;227;3
13077213;136964865;F-0324-0235301;01/03/2024;249;Fixe;5447;4
13654629;146971402;F-0224-1105118;02/02/2024;49;Mobile;9426;1
13654629;146971402;F-0324-0952449;02/03/2024;49;Mobile;9426;2
13685823;147608750;F-0324-0912081;03/03/2024;49;Mobile;10410;2
13694745;147853070;F-0324-1379739;04/03/2024;49;Mobile;10677;5
12152625;119565294;F-0324-0396662;01/03/2024;249;Fixe;3840;3
13652488;146967596;F-0324-0988166;02/03/2024;49;Mobile;9356;4
13658054;147067232;F-0224-1110031;02/02/2024;49;Mobile;9539;1
13658054;147067232;F-0324-0951560;02/03/2024;49;Mobile;9539;2
13259785;140598585;F-0324-1353815;04/03/2024;49;Mobile;5934;2
13598095;145891850;F-0324-1498926;02/03/2024;995;Mobile;8411;5
13627507;146592534;F-0324-1373893;04/03/2024;24898;Fixe;8737;3
4164694;147067123;F-0324-1402587;04/03/2024;199;Mobile;220;4
9800320;147143441;F-0324-1500712;04/03/2024;249;Mobile;1551;1
12900161;134474106;F-0324-1493230;01/03/2024;6176;Mobile;5041;2
12555272;127919699;F-0324-1376723;04/03/2024;49;Mobile;4408;2
13701423;148027104;F-0324-1380673;04/03/2024;24898;Fixe;10859;5
5508067;147255442;F-0324-1429185;04/03/2024;49;Mobile;503;3
13396506;142721870;F-0324-1380727;04/03/2024;49;Mobile;6509;4
11261342;148078720;F-0324-1502558;04/03/2024;24041;Mobile;2804;1
13559635;145272417;F-0324-1504035;04/03/2024;19214;Mobile;7980;2
13394912;142718696;F-0324-1490074;03/03/2024;10303;Mobile;6501;2
13394912;142718696;F-0224-0162675;03/02/2024;249;Mobile;6501;5
10646062;96805687;F-0324-1490199;03/03/2024;240;Mobile;2272;3
13692210;147768282;F-0324-1355737;04/03/2024;24898;Fixe;10617;4
13630030;146669389;F-0324-1389604;04/03/2024;49;Mobile;8763;1
5894674;145362823;F-0324-1414987;04/03/2024;199;Mobile;614;2
12345205;145898521;F-0324-1426481;04/03/2024;24898;Fixe;4098;2
13475984;143842464;F-0324-1347361;04/03/2024;149;Mobile;7047;5
13551143;145074476;F-0324-1450430;04/03/2024;14899;Fixe;7896;3
13433781;143201615;F-0324-0620998;02/03/2024;49;Mobile;6756;4
13369348;142361329;F-0324-1295938;02/03/2024;49;Mobile;6388;1
13651039;146964627;F-0224-1087049;01/02/2024;20884;Mobile;9315;2
13651039;146964627;F-0324-1262951;01/03/2024;249;Mobile;9315;2
13659119;147069140;F-0324-1298263;02/03/2024;99;Mobile;9566;5
13669430;147149509;F-0324-1287758;02/03/2024;49;Mobile;9885;3
10815592;117639146;F-0324-1230728;03/03/2024;249;Fixe;2416;4
13481279;148823439;F-0324-1044178;01/03/2024;49;Mobile;7082;1
13559917;145333204;F-0324-1247844;01/03/2024;49;Mobile;7981;2
13563116;145366089;F-0224-1037595;01/02/2024;49;Mobile;8027;2
13563116;145366089;F-0324-0461034;01/03/2024;49;Mobile;8027;5
12551073;127703884;F-0324-1232851;03/03/2024;249;Fixe;4404;3
13303183;141226190;F-0324-1285636;02/03/2024;24898;Fixe;6078;4
13696595;147936969;F-0324-1326759;04/03/2024;49;Mobile;10733;1
13481279;144071399;F-0324-1247526;01/03/2024;49;Mobile;7082;2
13298489;141216814;F-0324-1302132;02/03/2024;49;Mobile;6055;2
12031110;126645736;F-0324-1333182;04/03/2024;49;Mobile;3664;5
13507019;144310313;F-0324-1296660;02/03/2024;99;Mobile;7376;3
13507305;144310908;F-0324-1303159;02/03/2024;99;Mobile;7381;4
13696208;147936378;F-0324-1313053;04/03/2024;199;Mobile;10724;1
13212815;139889804;F-0324-1267322;01/03/2024;49;Mobile;5800;2
11800059;114004498;F-0324-1209738;03/03/2024;99;Mobile;3371;2
13588680;145701833;F-0324-0568676;02/03/2024;199;Mobile;8314;5
13361891;142218157;F-0324-0501584;02/03/2024;249;Mobile;6347;3
13428483;143116876;F-0324-0449387;01/03/2024;49;Mobile;6722;4
11479871;120415815;F-0324-0485215;01/03/2024;249;Fixe;3003;1
13583927;145693105;F-0324-0495358;02/03/2024;199;Mobile;8264;2
11615592;136845978;F-0324-0607673;02/03/2024;99;Mobile;3145;2
10899258;104153302;F-0324-0486155;01/03/2024;99;Mobile;2489;5
12565237;146791406;F-0324-1027050;01/03/2024;49;Mobile;4426;3
12565237;146791406;F-0224-1068874;01/02/2024;5399;Mobile;4426;4
13637949;146789982;F-0324-1032358;01/03/2024;49;Mobile;8951;1
13634685;146783852;F-0324-1023524;01/03/2024;49;Mobile;8852;2
13637949;146793837;F-0324-1038432;01/03/2024;49;Mobile;8951;2
13637949;146793685;F-0324-1038423;01/03/2024;49;Mobile;8951;5
11942951;146791302;F-0324-1065790;04/03/2024;49;Mobile;3548;3
13637841;146789775;F-0224-1089873;01/02/2024;49;Mobile;8946;4
13637841;146789775;F-0324-1035443;01/03/2024;49;Mobile;8946;1
13206401;139798054;F-0324-1540517;01/03/2024;58773;Fixe;5785;2
13658395;147067898;F-0324-1543392;02/03/2024;24799;Fixe;9551;2
13353196;142075391;F-0324-1013741;01/03/2024;49;Mobile;6288;5
13641725;146876056;F-0224-1060554;01/02/2024;99;Mobile;9057;3
13641725;146876056;F-0324-1031533;01/03/2024;99;Mobile;9057;4
13653581;146969598;F-0324-0991771;02/03/2024;14899;Fixe;9389;1
13651134;146964835;F-0324-1028843;01/03/2024;49;Mobile;9320;2
13240811;140342997;F-0324-1535427;03/03/2024;24041;Fixe;5875;2
12439560;124496158;F-0324-1532491;04/03/2024;4293;Fixe;4250;5
12840954;133500590;F-0324-1539021;01/03/2024;9607;Mobile;4903;3
12840954;133500590;F-0224-0382724;01/02/2024;199;Mobile;4903;4
13415754;143024211;F-0224-1100029;01/02/2024;199;Mobile;6628;1
13415754;143024211;F-0324-0389138;01/03/2024;199;Mobile;6628;2
12090012;118713089;F-0324-1531065;04/03/2024;9445;Fixe;3745;2
12465971;125347353;F-0324-0398695;01/03/2024;49;Mobile;4288;5
12947310;135047555;F-0324-0353974;01/03/2024;49;Mobile;5156;3
13422537;143036084;F-0324-0234339;01/03/2024;14899;Fixe;6678;4
13269893;140680568;F-0324-0279428;01/03/2024;199;Mobile;5954;1
13654627;146971395;F-0324-0966007;02/03/2024;49;Mobile;9425;2
12129119;145433741;F-0324-0943650;03/03/2024;14899;Fixe;3797;2
13682138;147601685;F-0324-0928620;03/03/2024;49;Mobile;10271;5
13575406;145515564;F-0324-0234487;01/03/2024;99;Mobile;8178;3
13525302;144598806;F-0324-0975267;02/03/2024;49;Mobile;7585;4
